iter	RMSE
0	6130.462586
1	5847.220436
2	5591.945342
3	5373.873792
4	5178.532837
5	5007.256918
6	4861.471773
7	4726.660941
8	4614.308499
9	4514.025876
10	4426.991919
11	4346.760669
12	4275.719786
13	4215.975364
14	4164.903819
15	4117.731163
16	4077.920146
17	4037.316148
18	4002.327766
19	3972.514223
20	3946.731571
21	3921.150817
22	3900.123888
23	3880.123571
24	3862.55966
25	3842.51207
26	3815.499864
27	3792.774652
28	3779.128794
29	3767.544053
30	3740.110072
31	3721.214687
32	3708.255524
33	3688.919423
34	3673.335404
35	3656.451054
36	3647.02381
37	3640.804387
38	3630.199239
39	3616.295515
40	3604.580096
41	3593.486223
42	3587.554674
43	3578.769475
44	3564.026826
45	3557.431864
46	3552.910782
47	3540.114691
48	3533.385471
49	3524.604873
50	3520.028113
51	3511.72781
52	3507.587945
53	3503.266538
54	3499.516705
55	3493.916229
56	3491.056663
57	3486.106293
58	3479.41279
59	3473.922045
60	3469.918449
61	3465.032885
62	3460.91264
63	3457.991567
64	3455.694208
65	3450.854019
66	3447.467883
67	3443.059712
68	3439.181596
69	3435.128534
70	3433.135435
71	3429.392393
72	3424.538316
73	3414.701081
74	3411.581044
75	3406.88794
76	3403.605623
77	3400.685815
78	3395.757451
79	3392.560111
80	3387.993901
81	3385.287049
82	3381.522834
83	3378.820217
84	3376.48363
85	3372.51334
86	3370.04017
87	3367.287015
88	3364.971379
89	3361.536603
90	3359.027489
91	3356.022501
92	3353.87509
93	3351.299701
94	3349.079559
95	3345.518636
96	3343.311472
97	3340.539933
98	3338.181973
99	3336.750537
100	3334.288113
101	3332.916877
102	3330.14875
103	3327.606109
104	3324.421772
105	3322.676447
106	3320.220493
107	3317.008793
108	3315.079978
109	3313.328976
110	3311.622378
111	3309.38578
112	3306.829924
113	3304.292253
114	3302.68078
115	3300.21579
116	3298.49156
117	3296.939812
118	3294.525369
119	3293.076563
120	3291.575409
121	3289.451587
122	3285.636301
123	3283.452293
124	3281.835241
125	3279.562523
126	3278.140433
127	3276.379539
128	3272.101653
129	3269.569871
130	3267.875472
131	3266.025412
132	3264.005043
133	3259.304689
134	3257.139658
135	3254.90358
136	3252.47592
137	3250.947784
138	3249.111432
139	3247.247177
140	3245.745492
141	3244.357939
142	3242.683303
143	3237.387715
144	3235.790281
145	3234.073759
146	3232.791811
147	3230.27627
148	3228.934679
149	3226.236155
150	3224.778549
151	3222.998188
152	3220.892282
153	3219.411196
154	3218.263544
155	3217.210015
156	3214.211852
157	3211.985014
158	3210.782008
159	3209.169557
160	3206.125479
161	3204.717329
162	3203.285315
163	3201.224006
164	3197.410811
165	3195.109676
166	3192.801356
167	3191.634552
168	3189.681862
169	3188.194489
170	3184.842737
171	3183.151276
172	3181.222157
173	3180.162643
174	3179.095399
175	3177.610909
176	3176.07456
177	3174.596044
178	3173.546983
179	3171.816513
180	3169.915507
181	3168.925161
182	3167.162177
183	3165.917395
184	3164.306996
185	3163.320514
186	3161.656599
187	3160.439459
188	3159.10598
189	3158.080666
190	3156.575705
191	3155.104992
192	3154.041261
193	3152.172479
194	3151.066923
195	3148.551024
196	3147.192795
197	3145.156358
198	3143.244495
199	3142.102096
200	3140.629171
201	3139.312122
202	3137.894721
203	3137.024018
204	3136.026525
205	3133.127402
206	3131.862997
207	3130.467438
208	3129.255531
209	3127.720117
210	3126.783078
211	3123.022181
212	3122.122068
213	3120.922992
214	3120.099033
215	3118.398805
216	3117.032888
217	3116.246801
218	3114.979115
219	3113.666156
220	3111.796936
221	3110.299991
222	3108.519732
223	3107.012664
224	3105.962327
225	3105.040504
226	3103.900669
227	3103.213048
228	3102.591769
229	3101.529328
230	3100.215953
231	3099.521095
232	3098.294264
233	3096.865859
234	3096.005897
235	3094.909859
236	3093.207452
237	3092.255671
238	3091.375792
239	3090.286089
240	3087.581251
241	3086.726477
242	3085.61736
243	3084.851877
244	3083.930017
245	3082.81578
246	3081.729468
247	3081.053995
248	3078.936644
249	3078.261682
250	3076.908057
251	3075.594075
252	3074.322119
253	3073.505377
254	3071.940216
255	3070.995036
256	3070.376325
257	3069.270535
258	3068.705402
259	3067.709058
260	3066.693649
261	3064.487843
262	3063.457687
263	3061.955237
264	3061.17038
265	3060.166465
266	3059.417452
267	3058.092184
268	3057.063241
269	3056.031338
270	3055.279235
271	3054.277377
272	3053.350097
273	3052.618215
274	3051.109274
275	3050.152231
276	3049.548453
277	3048.629052
278	3047.65277
279	3046.472548
280	3045.303833
281	3044.504211
282	3043.492942
283	3042.800906
284	3040.064876
285	3039.540244
286	3038.202623
287	3037.041115
288	3035.820916
289	3033.784374
290	3033.048267
291	3032.229353
292	3031.562687
293	3029.701967
294	3028.644508
295	3028.120113
296	3026.978038
297	3025.740053
298	3024.104298
299	3022.152705
300	3021.284495
301	3020.612007
302	3019.966699
303	3019.194142
304	3018.138603
305	3017.531667
306	3016.975213
307	3016.13104
308	3014.626699
309	3013.56573
310	3012.161846
311	3011.051858
312	3010.115122
313	3009.097389
314	3008.189315
315	3007.623783
316	3007.121206
317	3006.32128
318	3005.362422
319	3004.924464
320	3004.103502
321	3002.396689
322	3001.137168
323	3000.341161
324	2999.485549
325	2998.575938
326	2997.453564
327	2996.971053
328	2995.664977
329	2995.135753
330	2993.624374
331	2992.892849
