iter	Passed	Remaining
0	34	34033
1	51	25472
2	66	22004
3	87	21734
4	96	19140
5	110	18242
6	120	17067
7	129	16093
8	141	15561
9	150	14918
10	160	14412
11	170	14055
12	183	13911
13	195	13758
14	243	15987
15	254	15653
16	262	15187
17	270	14771
18	279	14407
19	291	14288
20	307	14329
21	315	14029
22	324	13777
23	334	13589
24	342	13339
25	350	13127
26	358	12915
27	366	12739
28	374	12555
29	383	12401
30	391	12239
31	399	12074
32	406	11925
33	415	11808
34	422	11656
35	429	11504
36	437	11382
37	444	11247
38	451	11116
39	458	10998
40	465	10879
41	472	10771
42	478	10654
43	487	10597
44	494	10502
45	502	10423
46	510	10343
47	518	10280
48	526	10212
49	535	10179
50	543	10111
51	550	10042
52	558	9976
53	565	9899
54	573	9855
55	580	9790
56	588	9728
57	595	9679
58	603	9631
59	630	9884
60	657	10118
61	666	10087
62	674	10027
63	683	9990
64	698	10049
65	705	9987
66	713	9931
67	720	9868
68	728	9824
69	735	9773
70	742	9719
71	750	9669
72	757	9625
73	766	9588
74	773	9545
75	782	9512
76	790	9471
77	797	9426
78	805	9386
79	813	9351
80	825	9361
81	832	9320
82	840	9280
83	847	9242
84	856	9219
85	864	9186
86	871	9143
87	879	9109
88	886	9078
89	893	9038
90	901	9008
91	909	8979
92	917	8952
93	926	8927
94	933	8892
95	940	8852
96	949	8835
97	957	8816
98	965	8784
99	972	8752
100	980	8728
101	987	8690
102	993	8656
103	1000	8616
104	1008	8599
105	1016	8569
106	1022	8535
107	1029	8503
108	1039	8493
109	1046	8470
110	1054	8447
111	1062	8422
112	1073	8427
113	1080	8400
114	1087	8368
115	1095	8345
116	1102	8323
117	1109	8295
118	1116	8263
119	1124	8245
120	1132	8227
121	1139	8204
122	1146	8177
123	1155	8165
124	1162	8137
125	1169	8110
126	1177	8091
127	1184	8072
128	1194	8062
129	1202	8045
130	1209	8024
131	1217	8005
132	1224	7982
133	1232	7964
134	1238	7938
135	1246	7917
136	1253	7893
137	1259	7869
138	1267	7853
139	1275	7834
140	1284	7822
141	1291	7800
142	1299	7785
143	1310	7788
144	1317	7766
145	1327	7762
146	1335	7746
147	1343	7735
148	1350	7713
149	1357	7691
150	1363	7668
151	1369	7642
152	1376	7621
153	1383	7602
154	1390	7579
155	1397	7558
156	1403	7538
157	1410	7517
158	1417	7498
159	1424	7480
160	1432	7462
161	1438	7439
162	1445	7420
163	1451	7401
164	1458	7379
165	1465	7360
166	1470	7335
167	1477	7316
168	1483	7295
169	1490	7275
170	1496	7254
171	1502	7234
172	1535	7341
173	1565	7431
174	1572	7413
175	1580	7398
176	1587	7381
177	1596	7371
178	1612	7394
179	1619	7377
180	1626	7358
181	1632	7339
182	1640	7324
183	1647	7308
184	1654	7289
185	1662	7273
186	1668	7254
187	1675	7235
188	1682	7220
189	1691	7211
190	1699	7196
191	1707	7183
192	1713	7166
193	1721	7151
194	1729	7139
195	1738	7129
196	1745	7114
197	1755	7112
198	1764	7103
199	1772	7090
200	1780	7078
201	1789	7068
202	1799	7065
203	1807	7054
204	1816	7042
205	1824	7032
206	1832	7021
207	1839	7005
208	1846	6990
209	1854	6976
210	1861	6959
211	1868	6944
212	1875	6929
213	1882	6913
214	1888	6895
215	1894	6877
216	1901	6861
217	1908	6844
218	1914	6828
219	1921	6812
220	1927	6795
221	1938	6793
222	1945	6779
223	1952	6764
224	1960	6751
225	1968	6742
226	1975	6726
227	1981	6709
228	1988	6694
229	1998	6691
230	2006	6679
231	2012	6662
232	2019	6646
233	2028	6639
234	2035	6625
235	2042	6612
236	2048	6595
